"","Shooter","Shooter_Position","Shooter_Team","Shot_X","Shot_Y","Shot_angle","Shot_Distance","Shot_Result","Defender_Distance","Num_Defenders","Defender","Defender_Position","Defender_Team"
"118","Aron Baynes","F-C","1610612765",8.35707666666667,26.45505,29.5009439962904,0,2,2.33545005204803,2,"Andrew Nicholson","F","1610612753"
"119","Jason Smith","F-C","1610612753",88.25516,21.7269233333333,32.8042209450863,0,0,1.14220886521587,1,"Aron Baynes","F-C","1610612765"
"120","Anthony Tolliver","F","1610612765",18.3880033333333,2.92770333333333,29.3769722309253,26,0,6.02415758566659,0,"Andrew Nicholson","F","1610612753"
"121","Anthony Tolliver","F","1610612765",5.40602,26.5878833333333,51.5513336957174,0,2,2.10034989615488,2,"Andrew Nicholson","F","1610612753"
"122","Shabazz Napier","G","1610612753",82.060955,15.06806,38.9185219935842,10,0,5.19225268593988,0,"Brandon Jennings","G","1610612765"
"123","Brandon Jennings","G","1610612765",7.93788666666667,31.0724533333333,40.3484663812153,1,0,4.54097013741557,0,"Dewayne Dedmon","C","1610612753"
"124","Kentavious Caldwell-Pope","G","1610612765",5.29981666666667,20.7828566666667,53.5703350254292,1,2,4.19035274368267,0,"Evan Fournier","F","1610612753"
"125","Victor Oladipo","G","1610612753",86.78859,27.55702,59.139395172868,5,0,4.21736512776936,0,"Anthony Tolliver","F","1610612765"
"126","Kentavious Caldwell-Pope","G","1610612765",21.3644933333333,7.23720666666667,29.9297921093562,26,3,6.55669707763325,0,"Dewayne Dedmon","C","1610612753"
"127","Evan Fournier","F","1610612753",74.2304566666667,44.9443633333333,28.0699628414042,24,0,5.38747943419848,0,"Kentavious Caldwell-Pope","G","1610612765"
"128","Kentavious Caldwell-Pope","G","1610612765",16.30399,46.7738833333333,30.7425104493381,25,3,6.0678787479032,0,"Shabazz Napier","G","1610612753"
"129","Andrew Nicholson","F","1610612753",86.81833,16.51211,38.2771010384836,7,0,1.51794558029006,1,"Anthony Tolliver","F","1610612765"
"130","Brandon Jennings","G","1610612765",29.6479033333333,39.60709,29.6539924893903,26,3,4.06646876149044,0,"Shabazz Napier","G","1610612753"
"131","Shabazz Napier","G","1610612753",85.7143225,30.3628475,37.3890408346332,2,0,3.64389886874815,1,"Brandon Jennings","G","1610612765"
"132","Brandon Jennings","G","1610612765",14.01562,14.452605,33.4730912932349,6,0,3.76611960916339,2,"Aaron Gordon","F","1610612753"
"133","Shabazz Napier","G","1610612753",72.7798866666667,20.0524733333333,33.2124806899226,15,0,3.93799434734941,1,"Brandon Jennings","G","1610612765"
"134","Kentavious Caldwell-Pope","G","1610612765",19.970195,44.916575,33.6237354517468,26,0,6.58569731567205,0,"Mario Hezonja","G-F","1610612753"
"135","Stanley Johnson","F","1610612765",3.46113333333333,27.6959066666667,36.5080418782504,0,0,2.0082672034811,1,"Andrew Nicholson","F","1610612753"
"136","Shabazz Napier","G","1610612753",69.68524,24.97393,35.8562497315021,18,2,5.83158963814542,0,"Aron Baynes","F-C","1610612765"
